11-08-2022 19:46:57.049,-,AT,"End Device,0013A20041F410A6,802.15.4 TH PRO,2003,COM7 - 230400/8/N/1/N,1,45"
11-08-2022 19:47:16.620,2405,RECV,3333363430382C323735342C37312E30302C32362E36370D0A
11-08-2022 19:47:16.682,2406,RECV,3333363531362C323735342C37312E30302C32362E35390D0A
11-08-2022 19:47:16.808,2407,RECV,3333363632322C323735342C37312E30302C32372E33310D0A
11-08-2022 19:47:16.934,2408,RECV,3333363733302C323735342C37312E30302C32372E37300D0A
11-08-2022 19:47:16.996,2409,RECV,3333363833372C323735342C37312E30302C32382E30360D0A
11-08-2022 19:47:17.122,2410,RECV,3333363934342C323735342C37312E30302C32372E32370D0A
11-08-2022 19:47:17.247,2411,RECV,3333373035312C323735342C37312E30302C32362E39330D0A
11-08-2022 19:47:17.373,2412,RECV,3333373230322C323236382C37312E30302C32372E32320D0A
11-08-2022 19:47:17.498,2413,RECV,3333373330392C323236382C37312E30302C32372E31300D0A
11-08-2022 19:47:17.624,2414,RECV,3333373431362C323236382C37312E30302C32372E32370D0A
11-08-2022 19:47:17.687,2415,RECV,3333373532332C323236382C37312E30302C32362E31350D0A
11-08-2022 19:47:17.812,2416,RECV,3333373633312C323236382C37312E30302C32352E38330D0A
11-08-2022 19:47:17.938,2417,RECV,3333373733372C323236382C37312E30302C32342E38310D0A
11-08-2022 19:47:18.001,2418,RECV,33333738
11-08-2022 19:47:18.064,2419,RECV,34352C323236382C37312E30302C32342E38350D0A
11-08-2022 19:47:18.189,2420,RECV,3333373939352C323438322C37312E30302C32342E34350D0A
11-08-2022 19:47:18.315,2421,RECV,3333383134362C323334322C37312E30302C
11-08-2022 19:47:18.377,2422,RECV,32352E33330D0A
11-08-2022 19:47:18.440,2423,RECV,3333383235332C323334322C37312E30302C32352E36390D0A
11-08-2022 19:47:18.566,2424,RECV,3333383336312C323334322C37312E30302C32352E31360D0A
11-08-2022 19:47:18.691,2425,RECV,3333383436372C323334322C37312E30302C32352E30350D0A
11-08-2022 19:47:18.754,2426,RECV,3333383537352C323334322C37312E30302C32352E31360D0A
11-08-2022 19:47:18.879,2427,RECV,3333383638312C323334322C37312E30302C32342E36360D0A
11-08-2022 19:47:19.005,2428,RECV,3333383833332C3233
11-08-2022 19:47:19.068,2429,RECV,34322C37322E30302C32372E38350D0A
11-08-2022 19:47:19.131,2430,RECV,3333383933392C323334322C37322E30302C32382E32330D0A
11-08-2022 19:47:19.318,2431,RECV,3333393039302C323435302C37322E30302C32372E32340D0A
11-08-2022 19:47:19.444,2432,RECV,3333393234312C323435372C37322E30302C32362E38380D0A
11-08-2022 19:47:19.570,2433,RECV,3333393339322C323331332C37322E30302C32362E30370D0A
11-08-2022 19:47:19.695,2434,RECV,3333393530302C323331332C37322E30302C32352E38370D0A
11-08-2022 19:47:19.821,2435,RECV,3333393630362C323331332C37322E30302C32372E32350D0A
11-08-2022 19:47:19.946,2436,RECV,3333393731342C323331332C37322E30302C32352E33320D0A
11-08-2022 19:47:20.009,2437,RECV,3333393832302C323331332C37322E30302C32352E32390D0A
11-08-2022 19:47:20.135,2438,RECV,3333393932382C323331332C37322E30302C32352E38350D0A
11-08-2022 19:47:20.260,2439,RECV,3334303033352C323331332C37322E30302C32382E33340D0A
11-08-2022 19:47:20.326,2440,RECV,3334303134322C323331332C37322E30302C32382E36340D0A
11-08-2022 19:47:20.511,2441,RECV,3334303239332C323337372C37322E30302C32362E35330D0A
11-08-2022 19:47:20.636,2442,RECV,3334303430302C323337372C37322E30302C33302E39300D0A
11-08-2022 19:47:20.699,2443,RECV,3334303530372C323337372C37322E30302C32382E36320D0A
11-08-2022 19:47:20.824,2444,RECV,3334303631342C323337372C37322E30302C32362E33330D0A
11-08-2022 19:47:20.950,2445,RECV,3334303732312C323337372C37322E30302C32352E39380D0A
11-08-2022 19:47:21.013,2446,RECV,3334303832392C323337372C37322E30302C32352E38390D0A
11-08-2022 19:47:21.138,2447,RECV,3334303933352C323337372C37322E30302C32352E38340D0A
11-08-2022 19:47:21.264,2448,RECV,3334313038362C323632302C37322E30302C32352E32300D0A
11-08-2022 19:47:21.452,2449,RECV,3334313233372C323635382C37322E30302C32352E31340D0A
11-08-2022 19:47:21.578,2450,RECV,3334313334342C323635382C37322E30302C32342E38380D0A
11-08-2022 19:47:21.640,2451,RECV,3334313435312C323635382C37322E30302C32352E33310D0A
11-08-2022 19:47:21.766,2452,RECV,3334313535392C323635382C37322E30302C32352E30310D0A
11-08-2022 19:47:21.878,2453,RECV,3334313636352C323635382C37322E30302C32352E30310D0A
11-08-2022 19:47:22.004,2454,RECV,3334313831362C323635382C37322E30302C32352E35380D0A
11-08-2022 19:47:22.130,2455,RECV,3334313932332C323635382C37322E30302C32352E32380D0A
11-08-2022 19:47:22.255,2456,RECV,3334323033312C323635382C37322E30302C32342E38390D0A
11-08-2022 19:47:22.381,2457,RECV,3334323138312C323431342C37322E30302C32342E37330D0A
11-08-2022 19:47:22.569,2458,RECV,3334323333322C323330312C37322E30302C32342E38360D0A
11-08-2022 19:47:22.695,2459,RECV,3334323438322C323237392C37322E30302C32342E38360D0A
11-08-2022 19:47:22.821,2460,RECV,3334323539302C323237392C37322E30302C32352E31300D0A
11-08-2022 19:47:22.884,2461,RECV,3334323639372C323237392C37322E30302C32352E38320D0A
11-08-2022 19:47:23.009,2462,RECV,3334323830342C323237392C37322E30302C32362E32330D0A
11-08-2022 19:47:23.135,2463,RECV,3334323931322C323237392C37322E30302C32362E33340D0A
11-08-2022 19:47:23.260,2464,RECV,3334333031382C323237392C37322E30302C32362E31390D0A
